"activity_period","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","geo_region","geo_summary","landing_aircraft_type","landing_count","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","total_landed_weight"
"200507","Narrow Body","Airbus","A320","232","US","Domestic","Passenger","872","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","123998400"
"200507","Narrow Body","Airbus","A320","232","Canada","International","Passenger","31","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","4408200"
"200507","Narrow Body","Airbus","A320","232","Mexico","International","Passenger","36","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","5119200"
"200507","Wide Body","Boeing","747","400","Europe","International","Passenger","31","Virgin Atlantic","VS","Virgin Atlantic","VS","19530000"
"200507","Narrow Body","Boeing","737","700","Canada","International","Passenger","21","WestJet Airlines","WS","WestJet Airlines","WS","2713200"
"200507","Narrow Body","Boeing","737","800","Canada","International","Passenger","1","WestJet Airlines","WS","WestJet Airlines","WS","146300"
"200508","Narrow Body","McDonnell Douglas","DC-9","30","US","Domestic","Freighter","41","ABX Air","GB","ABX Air","GB","4144000"
"200508","Narrow Body","McDonnell Douglas","DC-9","41","US","Domestic","Freighter","4","ABX Air","GB","ABX Air","GB","408000"
"200508","Narrow Body","Boeing","737","800","US","Domestic","Passenger","1","ATA Airlines","TZ","ATA Airlines","TZ","146300"
"200508","Narrow Body","Boeing","757","200","US","Domestic","Passenger","3","ATA Airlines","TZ","ATA Airlines","TZ","594000"
"200508","Narrow Body","Boeing","757","300","US","Domestic","Passenger","159","ATA Airlines","TZ","ATA Airlines","TZ","35616000"
"200508","Narrow Body","Airbus","A319","114","Canada","International","Passenger","173","Air Canada","AC","Air Canada","AC","23268500"
"200508","Narrow Body","Airbus","A320","211","Canada","International","Passenger","129","Air Canada","AC","Air Canada","AC","18318000"
"200508","Narrow Body","Airbus","A321","211","Canada","International","Passenger","1","Air Canada","AC","Air Canada","AC","171520"
"200508","Wide Body","Boeing","747","400","Asia","International","Passenger","16","Air China","CA","Air China","CA","10080000"
"200508","Wide Body","Boeing","747","400","Europe","International","Passenger","31","Air France","AF","Air France","AF","18815700"
"200508","Wide Body","Boeing","747","400","Australia / Oceania","International","Passenger","13","Air New Zealand","NZ","Air New Zealand","NZ","8190000"
"200508","Narrow Body","Boeing","737","700","US","Domestic","Passenger","62","AirTran Airways","FL","AirTran Airways","FL","7936000"
"200508","Narrow Body","Boeing","737","400","US","Domestic","Passenger","298","Alaska Airlines","AS","Alaska Airlines","AS","36058000"
"200508","Narrow Body","Boeing","737","400","Canada","International","Passenger","31","Alaska Airlines","AS","Alaska Airlines","AS","3751000"
"200508","Narrow Body","Boeing","737","400","Mexico","International","Passenger","89","Alaska Airlines","AS","Alaska Airlines","AS","10769000"
"200508","Narrow Body","Boeing","737","700","US","Domestic","Passenger","35","Alaska Airlines","AS","Alaska Airlines","AS","4522000"
"200508","Narrow Body","Boeing","737","700","Canada","International","Passenger","1","Alaska Airlines","AS","Alaska Airlines","AS","129200"
"200508","Narrow Body","Boeing","737","700","Mexico","International","Passenger","1","Alaska Airlines","AS","Alaska Airlines","AS","129200"
"200508","Narrow Body","Boeing","737","900","US","Domestic","Passenger","1","Alaska Airlines","AS","Alaska Airlines","AS","146300"
"200508","Narrow Body","McDonnell Douglas","MD-80","93","Mexico","International","Passenger","3","Alaska Airlines","AS","Alaska Airlines","AS","390000"
"200508","Narrow Body","McDonnell Douglas","MD-80",,"US","Domestic","Passenger","37","Alaska Airlines","AS","Alaska Airlines","AS","4810000"
"200508","Narrow Body","McDonnell Douglas","MD-80",,"Canada","International","Passenger","60","Alaska Airlines","AS","Alaska Airlines","AS","7800000"
"200508","Wide Body","Boeing","777","200ER","Asia","International","Passenger","31","All Nippon Airways","NH","All Nippon Airways","NH","14260000"
"200508","Narrow Body","Boeing","757",,"US","Domestic","Passenger","200","American Airlines","AA","American Airlines","AA","39600000"
"200508","Wide Body","Boeing","767","200","US","Domestic","Passenger","62","American Airlines","AA","American Airlines","AA","16740000"
"200508","Wide Body","Boeing","767","300","US","Domestic","Passenger","184","American Airlines","AA","American Airlines","AA","57040000"
"200508","Narrow Body","McDonnell Douglas","MD-80","83","US","Domestic","Passenger","286","American Airlines","AA","American Airlines","AA","37180000"
"200508","Narrow Body","McDonnell Douglas","MD-80","SP","US","Domestic","Passenger","396","American Airlines","AA","American Airlines","AA","51480000"
"200508","Regional Jet","Embraer","ERJ","140","US","Domestic","Passenger","149","American Eagle Airlines","MQ","American Airlines","AA","6153700"
"200508","Turbo Prop","Piper","CHIEFTAIN",,"US","Domestic","Freighter","1","Ameriflight","A8","Ameriflight","A8","7000"
"200508","Turbo Prop","Swearingen","SA-227","AC","US","Domestic","Freighter","20","Ameriflight","A8","Ameriflight","A8","280000"
"200508","Turbo Prop","Swearingen","SA-227","AT","US","Domestic","Freighter","5","Ameriflight","A8","Ameriflight","A8","77500"
"200508","Wide Body","Boeing","747","400","Asia","International","Freighter","2","Asiana Airlines","OZ","Asiana Airlines","OZ","1332000"
"200508","Wide Body","Boeing","777","200ER","Asia","International","Passenger","14","Asiana Airlines","OZ","Asiana Airlines","OZ","6440000"
"200508","Wide Body","Airbus","A300",,"US","Domestic","Freighter","23","Astar Air Cargo","ER","Astar Air Cargo","ER","6794660"
"200508","Wide Body","McDonnell Douglas","DC-8","73","US","Domestic","Freighter","21","Astar Air Cargo","ER","Astar Air Cargo","ER","5775000"
"200508","Turbo Prop","Swearingen","SA-227","L","US","Domestic","Freighter","22","Astar Air Cargo","ER","Astar Air Cargo","ER","293040"
"200508","Regional Jet","Bombardier","CRJ","700","US","Domestic","Passenger","24","Atlantic Southeast Airlines","EV","Delta Air Lines","DL","1608000"
"200508","Wide Body","Boeing","767","300","Europe","International","Passenger","4","BelAir Airlines","BBB","BelAir Airlines","BBB","1400000"
"200508","Wide Body","Boeing","777","200","Asia","International","Passenger","1","Boeing Company",,"Boeing Company",,"350000"
"200508","Wide Body","Boeing","747","400","Europe","International","Passenger","60","British Airways","BA","British Airways","BA","37800000"
"200508","Wide Body","Boeing","747","400","Europe","International","Freighter","9","Cargolux Airlines ","CV","Cargolux Airlines ","CV","5994000"
"200508","Wide Body","Boeing","747","400","Asia","International","Freighter","17","Cathay Pacific","CX","Cathay Pacific","CX","11322000"
"200508","Wide Body","Boeing","747","400","Asia","International","Passenger","31","Cathay Pacific","CX","Cathay Pacific","CX","19530000"
"200508","Wide Body","Boeing","747","400","Asia","International","Passenger","40","China Airlines","CI","China Airlines","CI","25200000"
"200508","Wide Body","Boeing","747",,"Asia","International","Freighter","28","China Airlines","CI","China Airlines","CI","18648000"
"200508","Wide Body","McDonnell Douglas","MD-11",,"Asia","International","Freighter","12","China Cargo Airlines","CK","China Cargo Airlines","CK","5658000"
"200508","Narrow Body","Boeing","737","800","US","Domestic","Passenger","159","Delta Air Lines","DL","Delta Air Lines","DL","22896000"
